x,R,Tg w/CO3,Tg CO3 free,,,,,,Sodium Borate Experimental Values,,,,,
0.246987952,0.328,750.874116,750.874116,,,,,,,,,,,
0.247554552,0.329,751.173913,751.173913,,,,,,,,,,,
0.248120301,0.33,751.4734982,751.4734982,,,,,,,,,,,
0.248685199,0.331,751.7728718,751.7728718,,,,,,,,,,,
0.249249249,0.332,752.0720339,752.0720339,,,,,,,,,,,
0.249812453,0.333,752.3709848,752.3709848,,,,,,,,,,,
0.250374813,0.334,752.6697248,752.6697248,,,,,,,,,,,
0.25093633,0.335,752.968254,752.968254,,,,,,,,,,,
0.251497006,0.336,753.2665726,753.2665726,,,,,,,,,,,
0.252056844,0.337,753.564681,753.564681,,,,,,,,,,,
0.252615845,0.338,753.8625793,753.8625793,,,,,,,,,,,
0.25317401,0.339,754.1602677,754.1602677,,,,,,,,,,,
0.253731343,0.34,754.4577465,754.4577465,,,,,,,,,,,
0.254287845,0.341,754.7550158,754.7550158,,,,,,,,,,,
0.254843517,0.342,755.052076,755.052076,,,,,,,,,,,
0.255398362,0.343,755.3489272,755.3489272,,,,,,,,,,,
0.255952381,0.344,755.6455696,755.6455696,,,,,,,,,,,
0.256505576,0.345,755.9420035,755.9420035,,,,,,,,,,,
0.257057949,0.346,756.2382291,756.2382291,,,,,,,,,,,
0.257609503,0.347,756.5342466,756.5342466,,,,,,,,,,,
0.258160237,0.348,756.8300562,756.8300562,,,,,,,,,,,
0.258710156,0.349,757.1256581,757.1256581,,,,,,,,,,,
0.259259259,0.35,757.4210526,757.4210526,,,,,,,,,,,
0.25980755,0.351,757.7162399,757.7162399,,,,,,,,,,,
0.26035503,0.352,758.0112202,758.0112202,,,,,,,,,,,
0.2609017,0.353,758.3059937,758.3059937,,,,,,,,,,,
0.261447563,0.354,758.6005606,758.6005606,,,,,,,,,,,
0.26199262,0.355,758.8949212,758.8949212,,,,,,,,,,,
0.262536873,0.356,759.1890756,759.1890756,,,,,,,,,,,
0.263080324,0.357,759.4830242,759.4830242,,,,,,,,,,,
0.263622975,0.358,759.776767,759.776767,,,,,,,,,,,
0.264164827,0.359,760.0703043,760.0703043,,,,,,,,,,,
0.264705882,0.36,760.3636364,760.3636364,,,,,,,,,,,
0.265246143,0.361,760.6567634,760.6567634,,,,,,,,,,,
0.265785609,0.362,760.9496855,760.9496855,,,,,,,,,,,
0.266324285,0.363,761.2424031,761.2424031,,,,,,,,,,,
0.26686217,0.364,761.5349162,761.5349162,,,,,,,,,,,
0.267399267,0.365,761.8272251,761.8272251,,,,,,,,,,,
0.267935578,0.366,762.1193301,762.1193301,,,,,,,,,,,
0.268471105,0.367,762.4112313,762.4112313,,,,,,,,,,,
0.269005848,0.368,762.7029289,762.7029289,,,,,,,,,,,
0.26953981,0.369,762.9944231,762.9944231,,,,,,,,,,,
0.270072993,0.37,763.2857143,763.2857143,,,,,,,,,,,
0.270605398,0.371,763.5768025,763.5768025,,,,,,,,,,,
0.271137026,0.372,763.867688,763.867688,,,,,,,,,,,
0.271667881,0.373,764.158371,764.158371,,,,,,,,,,,
0.272197962,0.374,764.4488518,764.4488518,,,,,,,,,,,
0.272727273,0.375,764.7391304,764.7391304,,,,,,,,,,,
0.273255814,0.376,765.0292072,765.0292072,,,,,,,,,,,
0.273783588,0.377,765.3190824,765.3190824,,,,,,,,,,,
0.274310595,0.378,765.6087561,765.6087561,,,,,,,,,,,
0.274836838,0.379,765.8982286,765.8982286,,,,,,,,,,,
0.275362319,0.38,766.1875,766.1875,,,,,,,,,,,
0.275887038,0.381,766.4765706,766.4765706,,,,,,,,,,,
0.276410999,0.382,766.7654407,766.7654407,,,,,,,,,,,
0.276934201,0.383,767.0541103,767.0541103,,,,,,,,,,,
0.277456647,0.384,767.3425798,767.3425798,,,,,,,,,,,
0.277978339,0.385,767.6308492,767.6308492,,,,,,,,,,,
0.278499278,0.386,767.9189189,767.9189189,,,,,,,,,,,
