x,R,m,model,,,,,,,,,
0.239543726,0.315,60.96454773,66.79956956,,,,,,,,,
0.240121581,0.316,60.88991184,66.78149462,,,,,,,,,
0.240698557,0.317,60.81500836,66.76330583,,,,,,,,,
0.241274659,0.318,60.73984032,66.74500404,,,,,,,,,
0.241849886,0.319,60.66441076,66.72659011,,,,,,,,,
0.242424242,0.32,60.58872271,66.70806491,,,,,,,,,
0.242997729,0.321,60.51277922,66.68942928,,,,,,,,,
0.243570348,0.322,60.43658333,66.67068408,,,,,,,,,
0.244142101,0.323,60.36013812,66.65183015,,,,,,,,,
0.244712991,0.324,60.28344664,66.63286833,,,,,,,,,
0.245283019,0.325,60.20651195,66.61379947,,,,,,,,,
0.245852187,0.326,60.12933714,66.59462439,,,,,,,,,
0.246420497,0.327,60.05192527,66.57534393,,,,,,,,,
0.246987952,0.328,59.97427944,66.55595891,,,,,,,,,
0.247554552,0.329,59.89640272,66.53647015,,,,,,,,,
0.248120301,0.33,59.81829822,66.51687848,,,,,,,,,
0.248685199,0.331,59.73996902,66.49718472,,,,,,,,,
0.249249249,0.332,59.66141824,66.47738966,,,,,,,,,
0.249812453,0.333,59.58264897,66.45749412,,,,,,,,,
0.250374813,0.334,59.50366432,66.4374989,,,,,,,,,
0.25093633,0.335,59.4244674,66.41740481,,,,,,,,,
0.251497006,0.336,59.34506133,66.39721263,,,,,,,,,
0.252056844,0.337,59.26544923,66.37692316,,,,,,,,,
0.252615845,0.338,59.18563422,66.35653719,,,,,,,,,
0.25317401,0.339,59.10561941,66.3360555,,,,,,,,,
0.253731343,0.34,59.02540795,66.31547888,,,,,,,,,
0.254287845,0.341,58.94500295,66.29480809,,,,,,,,,
0.254843517,0.342,58.86440756,66.27404392,,,,,,,,,
0.255398362,0.343,58.78362489,66.25318713,,,,,,,,,
0.255952381,0.344,58.70265809,66.23223848,,,,,,,,,
0.256505576,0.345,58.6215103,66.21119874,,,,,,,,,
0.257057949,0.346,58.54018464,66.19006866,,,,,,,,,
0.257609503,0.347,58.45868427,66.16884901,,,,,,,,,
0.258160237,0.348,58.37701231,66.14754052,,,,,,,,,
0.258710156,0.349,58.29517191,66.12614395,,,,,,,,,
0.259259259,0.35,58.21316622,66.10466004,,,,,,,,,
0.25980755,0.351,58.13099837,66.08308953,,,,,,,,,
0.26035503,0.352,58.0486715,66.06143314,,,,,,,,,
0.2609017,0.353,57.96618876,66.03969162,,,,,,,,,
0.261447563,0.354,57.88355328,66.01786569,,,,,,,,,
0.26199262,0.355,57.80076822,65.99595607,,,,,,,,,
0.262536873,0.356,57.7178367,65.97396349,,,,,,,,,
0.263080324,0.357,57.63476186,65.95188865,,,,,,,,,
0.263622975,0.358,57.55154685,65.92973227,,,,,,,,,
0.264164827,0.359,57.4681948,65.90749507,,,,,,,,,
0.264705882,0.36,57.38470885,65.88517774,,,,,,,,,
0.265246143,0.361,57.30109212,65.86278099,,,,,,,,,
0.265785609,0.362,57.21734775,65.84030551,,,,,,,,,
0.266324285,0.363,57.13347886,65.817752,,,,,,,,,
0.26686217,0.364,57.04948859,65.79512114,,,,,,,,,
0.267399267,0.365,56.96538005,65.77241363,,,,,,,,,
0.267935578,0.366,56.88115636,65.74963015,,,,,,,,,
0.268471105,0.367,56.79682065,65.72677137,,,,,,,,,
0.269005848,0.368,56.71237602,65.70383797,,,,,,,,,
0.26953981,0.369,56.62782558,65.68083063,,,,,,,,,
0.270072993,0.37,56.54317244,65.65775,,,,,,,,,
0.270605398,0.371,56.4584197,65.63459676,,,,,,,,,
0.271137026,0.372,56.37357046,65.61137157,,,,,,,,,
0.271667881,0.373,56.2886278,65.58807507,,,,,,,,,
0.272197962,0.374,56.20359482,65.56470793,,,,,,,,,
0.272727273,0.375,56.1184746,65.5412708,,,,,,,,,
0.273255814,0.376,56.03327022,65.51776432,,,,,,,,,
0.273783588,0.377,55.94798473,65.49418913,,,,,,,,,
0.274310595,0.378,55.86262122,65.47054587,,,,,,,,,
0.274836838,0.379,55.77718274,65.44683518,,,,,,,,,
0.275362319,0.38,55.69167234,65.42305769,,,,,,,,,
0.275887038,0.381,55.60609306,65.39921403,,,,,,,,,
0.276410999,0.382,55.52044795,65.37530482,,,,,,,,,
0.276934201,0.383,55.43474004,65.35133068,,,,,,,,,
0.277456647,0.384,55.34897235,65.32729224,,,,,,,,,
0.277978339,0.385,55.2631479,65.3031901,,,,,,,,,
0.278499278,0.386,55.17726969,65.27902486,,,,,,,,,
0.279019466,0.387,55.09134073,65.25479716,,,,,,,,,
0.279538905,0.388,55.00536402,65.23050758,,,,,,,,,
0.280057595,0.389,54.91934252,65.20615672,,,,,,,,,
0.28057554,0.39,54.83327923,65.18174518,,,,,,,,,
0.281092739,0.391,54.74717709,65.15727355,,,,,,,,,
0.281609195,0.392,54.66103908,65.13274243,,,,,,,,,
0.28212491,0.393,54.57486813,65.1081524,,,,,,,,,
0.282639885,0.394,54.48866718,65.08350404,,,,,,,,,
0.283154122,0.395,54.40243916,65.05879792,,,,,,,,,
0.283667622,0.396,54.31618698,65.03403463,,,,,,,,,
0.284180387,0.397,54.22991354,65.00921474,,,,,,,,,
0.284692418,0.398,54.14362174,64.98433881,,,,,,,,,
0.285203717,0.399,54.05731447,64.95940742,,,,,,,,,
0.285714286,0.4,54.16729457,64.97149303,,,,,,,,,
0.286224126,0.401,54.45068606,65.00453187,,,,,,,,,
0.286733238,0.402,54.73308245,65.03738828,,,,,,,,,
0.287241625,0.403,55.01438751,65.07006226,,,,,,,,,
0.287749288,0.404,55.29450533,65.10255381,,,,,,,,,
0.288256228,0.405,55.5733405,65.13486296,,,,,,,,,
0.288762447,0.406,55.85079814,65.16698969,,,,,,,,,
0.289267946,0.407,56.12678399,65.19893404,,,,,,,,,
